iter	MAPE	RMSE
0	1.927826572	2333926.391
1	1.901365543	2302447.159
2	1.875318609	2272277.295
3	1.848741378	2241892.921
4	1.822207643	2214008.224
5	1.796323601	2186568.361
6	1.771359062	2158061.21
7	1.747984469	2131040.422
8	1.724242127	2104011.979
9	1.700840174	2078768.297
10	1.678901622	2053540.163
11	1.656184819	2028802.132
12	1.633821608	2005082.789
13	1.611321404	1982013.792
14	1.590234974	1959709.247
15	1.569033167	1937465.356
16	1.548548679	1915124.931
17	1.527834155	1893624.413
18	1.507406683	1872334.311
19	1.487520419	1850519.175
20	1.4681972	1829552.915
21	1.449360509	1809991.021
22	1.429795424	1791103.048
23	1.411098069	1771995.682
24	1.392686294	1753998.886
25	1.375393627	1736821.433
26	1.357031981	1719033.346
27	1.338924327	1701430.408
28	1.322089675	1684746.885
29	1.305640963	1667585.81
30	1.289685913	1651126.117
31	1.274442662	1634870.744
32	1.258723774	1619682.031
33	1.243252184	1604180.045
34	1.227736651	1589208.476
35	1.212757201	1575201.056
36	1.198080212	1560657.137
37	1.184094198	1546216.11
38	1.170414079	1532101.991
39	1.156238352	1519385.286
40	1.142638681	1506339.62
41	1.129817742	1492758.048
42	1.117066813	1479593.74
43	1.104834626	1467462.918
44	1.092272821	1454698.308
45	1.080432025	1441731.636
46	1.068545362	1430384.934
47	1.056279978	1419092.888
48	1.044999897	1407951.556
49	1.034137983	1396675.734
50	1.022729287	1385669.577
51	1.011735249	1375139.074
52	1.000873553	1364244.445
53	0.990804426	1354351.58
54	0.9797779131	1344153.753
55	0.9701244986	1334416.287
56	0.9600485253	1324876.171
57	0.9501407073	1315667.745
58	0.9403641893	1306376.602
59	0.9308840077	1298307.059
60	0.9214352427	1289715.029
61	0.91154191	1281511.136
62	0.9024103084	1273478.731
63	0.8934104551	1265279.409
64	0.8839154842	1257718.284
65	0.8748543109	1249827.933
66	0.8655277014	1240653.921
67	0.8576047303	1233264.714
68	0.8495044401	1225131.293
69	0.8421036514	1217738.613
70	0.8341057425	1210546.789
71	0.8256258167	1203770.961
72	0.8177370085	1197098.062
73	0.8103625313	1191029.191
74	0.8032010989	1183589.617
75	0.7959323412	1177449.69
76	0.7879649751	1171395.047
77	0.7799288726	1165108.14
78	0.7723134186	1158902.475
79	0.7656553526	1153068.401
80	0.758528189	1147213.664
81	0.7520807999	1141107.274
82	0.7458113626	1135053.593
83	0.7394004825	1129339.064
84	0.733512477	1123998.052
85	0.7281122538	1118540.914
86	0.7217771347	1113441.573
87	0.7161370562	1108064.499
88	0.7106238288	1103551.559
89	0.7057456981	1098484.412
90	0.7003850011	1094178.236
91	0.6949691928	1088601.136
92	0.6889443681	1084619.374
93	0.6830480616	1079789.73
94	0.6774468095	1075990.082
95	0.6721005484	1071355.906
96	0.6671601269	1066744.233
97	0.6624413015	1062805.473
98	0.6570450259	1059062.397
99	0.6520554809	1054706.231
100	0.6475014278	1051250.573
101	0.6424251846	1047120.201
102	0.6386751373	1043998.778
103	0.6340273375	1040649.314
104	0.6294886464	1037410.63
105	0.624916754	1034017.629
106	0.6207691839	1030576.969
107	0.6159642311	1027348.324
108	0.6120265016	1023205.217
109	0.6080188011	1020331.601
110	0.603996181	1017180.657
111	0.6002299308	1013275.414
112	0.5966750506	1009190.956
113	0.5930237438	1006269.607
114	0.5888590291	1003340.93
115	0.5853150435	1000799.329
116	0.5812484986	998102.1458
117	0.5777489743	995027.7774
118	0.5751644533	992231.6768
119	0.5716494879	989269.1863
120	0.5680894289	986712.7801
121	0.564935504	984119.6147
122	0.5619250866	981395.1937
123	0.5583556499	978893.3656
124	0.5551676815	976271.5898
125	0.5518483982	973987.3593
126	0.548252082	972043.3764
127	0.5454430869	969015.7591
128	0.5428401735	966742.9967
129	0.5399225758	964178.183
130	0.5369426828	962307.8592
131	0.5339199282	960157.5194
132	0.5311577991	957623.2872
133	0.5282882436	955822.0262
134	0.5264496127	953382.5346
135	0.5240028909	951253.3506
136	0.5219143048	948678.4114
137	0.5199440411	946059.8844
138	0.5172963946	944313.4012
139	0.5150204372	941569.7052
140	0.5122485085	939807.2877
141	0.5097440167	937645.3121
142	0.5068681309	936078.1668
143	0.5046274352	933473.0464
144	0.5024702948	931846.3169
145	0.5006632657	929741.3886
146	0.4990894576	927862.8512
147	0.4971446372	926055.4622
148	0.4954270669	923992.2798
149	0.4931821698	922432.7108
150	0.4916001298	920692.4268
