iter	Passed	Remaining
0	37	188664
1	52	131113
2	66	110171
3	79	99637
4	93	93798
5	107	89806
6	121	86510
7	135	84364
8	149	83050
9	163	81353
10	176	79943
11	189	78932
12	203	78071
13	216	77233
14	231	76922
15	245	76373
16	258	75757
17	272	75337
18	286	75027
19	299	74658
20	313	74224
21	326	73924
22	341	73805
23	355	73660
24	369	73611
25	384	73504
26	397	73299
27	411	73144
28	425	72928
29	438	72704
30	452	72548
31	465	72303
32	479	72124
33	491	71780
34	505	71721
35	517	71423
36	529	71011
37	540	70621
38	553	70463
39	567	70327
40	581	70273
41	594	70218
42	608	70107
43	621	70028
44	635	69986
45	649	69989
46	664	69981
47	678	70014
48	691	69912
49	705	69856
50	719	69854
51	733	69820
52	747	69793
53	761	69747
54	775	69681
55	788	69623
56	802	69604
57	816	69603
58	831	69624
59	845	69597
60	859	69626
61	874	69680
62	888	69642
63	902	69590
64	916	69571
65	930	69553
66	944	69544
67	958	69495
68	972	69489
69	984	69365
70	996	69213
71	1006	68895
72	1020	68864
73	1032	68759
74	1043	68513
75	1055	68377
76	1063	67978
77	1071	67588
78	1081	67354
79	1089	67005
80	1098	66735
81	1109	66562
82	1121	66448
83	1134	66368
84	1146	66280
85	1160	66291
86	1174	66306
87	1186	66212
88	1198	66139
89	1212	66138
90	1226	66140
91	1240	66184
92	1255	66256
93	1269	66253
94	1282	66235
95	1296	66245
96	1310	66242
97	1323	66226
98	1336	66180
99	1351	66200
100	1364	66178
101	1377	66167
102	1391	66138
103	1405	66169
104	1419	66182
105	1433	66175
106	1446	66161
107	1459	66117
108	1471	66034
109	1485	66045
110	1499	66066
111	1512	66024
112	1525	65993
113	1540	66026
114	1551	65919
115	1563	65838
116	1574	65722
117	1587	65692
118	1600	65647
119	1613	65615
120	1627	65610
121	1641	65614
122	1653	65581
123	1667	65581
124	1681	65577
125	1694	65553
126	1708	65538
127	1721	65539
128	1735	65537
129	1749	65528
130	1762	65518
131	1775	65489
132	1789	65498
133	1803	65475
134	1816	65458
135	1829	65427
136	1843	65443
137	1858	65462
138	1871	65453
139	1885	65450
140	1899	65448
141	1912	65437
142	1926	65427
143	1940	65427
144	1954	65430
145	1967	65424
146	1981	65409
147	1995	65423
148	2009	65407
149	2022	65399
150	2036	65392
151	2050	65390
152	2065	65441
153	2079	65452
154	2094	65455
155	2106	65422
156	2121	65435
157	2134	65409
158	2147	65395
159	2161	65381
160	2174	65362
161	2188	65349
162	2200	65308
163	2214	65299
164	2228	65291
165	2241	65273
166	2255	65286
167	2269	65286
168	2283	65265
169	2296	65250
170	2310	65237
171	2323	65225
172	2336	65202
173	2350	65196
174	2364	65185
175	2377	65173
176	2391	65152
177	2405	65164
178	2419	65151
179	2432	65143
180	2447	65162
181	2460	65128
182	2473	65099
183	2487	65102
184	2501	65095
185	2514	65071
186	2528	65070
187	2542	65074
188	2556	65079
189	2571	65087
190	2587	65142
191	2601	65157
192	2615	65138
193	2628	65117
194	2642	65122
195	2656	65118
196	2670	65102
197	2683	65088
198	2697	65079
199	2711	65069
200	2725	65065
201	2738	65041
202	2752	65038
203	2765	65023
204	2779	65004
205	2792	64989
206	2806	64980
207	2819	64962
208	2833	64958
209	2847	64953
210	2861	64941
211	2873	64903
212	2887	64894
213	2901	64882
214	2914	64868
215	2927	64840
216	2940	64817
217	2954	64807
218	2968	64802
219	2982	64798
220	2996	64788
221	3009	64770
222	3022	64750
223	3036	64745
224	3051	64752
225	3065	64761
226	3079	64745
227	3093	64742
228	3107	64734
229	3119	64703
230	3134	64708
231	3146	64673
232	3160	64668
233	3173	64642
234	3187	64629
235	3201	64620
236	3214	64594
237	3228	64591
238	3242	64582
239	3255	64566
240	3268	64550
241	3282	64540
242	3296	64526
243	3309	64504
244	3322	64488
245	3336	64474
246	3349	64460
247	3363	64444
248	3376	64415
249	3389	64399
250	3402	64382
251	3417	64383
252	3430	64372
253	3442	64326
254	3453	64259
255	3461	64144
256	3471	64069
257	3484	64043
258	3497	64029
259	3512	64032
260	3527	64040
261	3540	64031
262	3554	64014
263	3567	63996
264	3581	63990
265	3595	63981
266	3608	63962
267	3622	63966
268	3638	63989
269	3651	63972
270	3664	63953
271	3677	63921
272	3690	63908
273	3704	63896
274	3718	63894
275	3732	63881
276	3745	63868
277	3758	63845
278	3772	63839
279	3786	63831
280	3800	63815
281	3813	63796
